"Date","Open","High","Low","Close"
"26 Feb 2016","1626.45","1636.3","1603.75","1629.55"
"25 Feb 2016","1614.4","1629.7","1606.35","1612.40"
"24 Feb 2016","1626","1639.45","1607.95","1609.80"
"23 Feb 2016","1664.7","1685.75","1640.55","1644.75"
"22 Feb 2016","1657.95","1673.1","1651.25","1663.65"
"19 Feb 2016","1632.4","1660.8","1622.55","1652.90"
"18 Feb 2016","1650.65","1665.9","1612.6","1644.95"
"17 Feb 2016","1613.1","1631.55","1562.9","1627.55"
"16 Feb 2016","1665.3","1665.3","1603.65","1611.30"
"15 Feb 2016","1536.65","1659.2","1536.65","1642.80"
"12 Feb 2016","1536.25","1538.1","1450.4","1495.60"
"11 Feb 2016","1586.4","1586.6","1507.5","1519.85"
"10 Feb 2016","1587.1","1596.6","1554.95","1589.60"
"09 Feb 2016","1606.5","1624.6","1588.7","1599.25"
"08 Feb 2016","1664.15","1679.8","1622.85","1629.50"
"05 Feb 2016","1578.2","1651.2","1578.2","1643.25"
"04 Feb 2016","1558.35","1594.35","1547.35","1584.10"
"03 Feb 2016","1565.7","1588.05","1534.25","1541.75"
"02 Feb 2016","1667.3","1673.2","1578.9","1583.60"
"01 Feb 2016","1663.85","1667.1","1644.15","1663.75"
"29 Jan 2016","1645.35","1672.1","1645.1","1658.45"
"28 Jan 2016","1646.2","1655.4","1633.15","1640.65"
"27 Jan 2016","1653.75","1657.45","1641.75","1650.40"
"25 Jan 2016","1636.75","1660.1","1635.55","1648.10"
"22 Jan 2016","1575.95","1627.55","1572.9","1622.05"
"21 Jan 2016","1590","1594.5","1546.05","1552.95"
"20 Jan 2016","1591.1","1591.1","1537.9","1566.40"
"19 Jan 2016","1617.65","1630.95","1592.05","1616.70"
"18 Jan 2016","1615","1654.35","1596.3","1607.00"
"15 Jan 2016","1699.3","1700.45","1620.5","1624.60"
"14 Jan 2016","1674.3","1708.6","1655.9","1684.15"
"13 Jan 2016","1739.9","1750.25","1672.5","1712.70"
"12 Jan 2016","1751.1","1762.95","1712.9","1725.15"
"11 Jan 2016","1722.3","1755.95","1697.45","1746.15"
"08 Jan 2016","1757","1770","1723.05","1750.80"
"07 Jan 2016","1799.05","1799.05","1735.4","1742.55"
"06 Jan 2016","1861.15","1864.5","1820.1","1829.05"
"05 Jan 2016","1818.15","1874.45","1808.05","1862.70"
"04 Jan 2016","1819.65","1850.95","1794.1","1804.90"
"01 Jan 2016","1826.9","1833.75","1814.35","1830.30"
"31 Dec 2015","1823.2","1829.15","1809.25","1826.85"
"30 Dec 2015","1818.75","1835.05","1813.75","1817.75"
"29 Dec 2015","1822.85","1827.95","1809.6","1811.95"
"28 Dec 2015","1841.6","1844.45","1805.9","1815.95"
"24 Dec 2015","1838.1","1840.55","1821.9","1835.85"
"23 Dec 2015","1799.8","1824.35","1799.8","1820.75"
"22 Dec 2015","1801.9","1810.3","1778.95","1781.60"
"21 Dec 2015","1778.4","1808.6","1774.6","1800.40"
"18 Dec 2015","1790.65","1797.2","1768.55","1772.70"
"17 Dec 2015","1747.1","1798.25","1746.95","1795.55"
"16 Dec 2015","1748","1754.35","1732.8","1737.90"
"15 Dec 2015","1747.3","1748.65","1725.2","1735.85"
"14 Dec 2015","1695.15","1746.85","1692.9","1740.15"
"11 Dec 2015","1700.2","1722.15","1687.05","1699.80"
"10 Dec 2015","1667.2","1695.15","1665.85","1690.00"
"09 Dec 2015","1704.75","1707.3","1651.3","1658.80"
"08 Dec 2015","1758.6","1762","1710.1","1713.30"
"07 Dec 2015","1795.2","1802.55","1767.35","1770.05"
"04 Dec 2015","1768.85","1791.1","1763.85","1776.95"
"03 Dec 2015","1795.15","1798.7","1776.15","1779.55"
"02 Dec 2015","1805.85","1816","1791.6","1806.15"
"01 Dec 2015","1743.4","1796.1","1743.25","1790.90"
"30 Nov 2015","1737.25","1750.3","1733.15","1735.80"
"27 Nov 2015","1721.3","1758.15","1717.4","1736.35"
"26 Nov 2015","1704.75","1725.3","1701.05","1715.15"
"24 Nov 2015","1693.95","1708.75","1691.5","1697.25"
"23 Nov 2015","1729.5","1729.5","1693.2","1698.30"
"20 Nov 2015","1729.4","1744.15","1723.65","1726.10"
"19 Nov 2015","1713.3","1727.55","1699.55","1722.85"
"18 Nov 2015","1739.8","1746.5","1697","1702.05"
"17 Nov 2015","1731.1","1752.8","1729.4","1739.65"
"16 Nov 2015","1696.95","1725.5","1682.8","1720.60"
"13 Nov 2015","1690.35","1714.65","1679.7","1704.05"
"11 Nov 2015","1700.6","1704.9","1697.65","1699.15"
"10 Nov 2015","1709.05","1710.95","1677.5","1681.45"
"09 Nov 2015","1674.9","1734.85","1668.25","1723.65"
"06 Nov 2015","1725.25","1729.4","1700.2","1720.25"
"05 Nov 2015","1769.55","1769.55","1733","1735.35"
"04 Nov 2015","1784.2","1790.15","1766","1768.65"
"03 Nov 2015","1781.8","1795.7","1763.5","1767.60"
"02 Nov 2015","1807.2","1810.05","1753.2","1768.10"
"30 Oct 2015","1824.4","1858.8","1799.05","1806.05"
"29 Oct 2015","1834.25","1840.85","1823.5","1826.80"
"28 Oct 2015","1821.25","1840.55","1818.5","1834.15"
"27 Oct 2015","1832.9","1840.55","1812.25","1831.25"
"26 Oct 2015","1859.7","1870.8","1838.9","1842.50"
"23 Oct 2015","1872.85","1875.3","1841.6","1846.70"
"21 Oct 2015","1823.1","1857.15","1817.55","1847.50"
"20 Oct 2015","1861.9","1861.9","1819.9","1824.20"
"19 Oct 2015","1882.1","1893.8","1858.5","1864.30"
"16 Oct 2015","1898.3","1898.9","1861.9","1879.50"
"15 Oct 2015","1875.2","1895.7","1865.5","1886.30"
"14 Oct 2015","1852.75","1903.05","1851.7","1863.35"
"13 Oct 2015","1842.75","1862.8","1838.1","1860.20"
"12 Oct 2015","1856.95","1916.65","1855.45","1870.75"
"09 Oct 2015","1814.25","1844.85","1814.25","1834.95"
"08 Oct 2015","1794.7","1812.5","1771.95","1796.60"
"07 Oct 2015","1729.5","1795.3","1720.55","1787.00"
"06 Oct 2015","1719.55","1739.4","1701.4","1730.70"
"05 Oct 2015","1664.2","1706.35","1653.75","1702.85"
"01 Oct 2015","1673.25","1673.25","1644.8","1650.80"
"30 Sep 2015","1632.6","1663.25","1632.6","1657.80"
"29 Sep 2015","1613.25","1621.4","1595.3","1605.45"
"28 Sep 2015","1695.6","1695.6","1638.3","1642.60"
"24 Sep 2015","1709.95","1710.7","1678.3","1684.80"
"23 Sep 2015","1685.6","1723.5","1674.8","1713.15"
"22 Sep 2015","1792.3","1794.35","1707.2","1711.70"
"21 Sep 2015","1776.25","1796.65","1763.85","1787.35"
"18 Sep 2015","1800.2","1809.65","1777.8","1789.30"
"16 Sep 2015","1792.4","1795.35","1770.65","1779.30"
